ID,Date,Month,Year,Sales,Unemployment,Queries,CPI_Energy,CPI_All
1,2010-01-01,1,10,7690,9.7,153,213.377,217.466
2,2010-02-01,2,10,7966,9.8,130,209.924,217.251
3,2010-03-01,3,10,8225,9.9,138,209.163,217.305
4,2010-04-01,4,10,9657,9.9,132,209.024,217.376
5,2010-05-01,5,10,9781,9.6,177,206.172,217.299
6,2010-06-01,6,10,14245,9.4,138,204.161,217.285
7,2010-07-01,7,10,18215,9.5,156,206.834,217.677
8,2010-08-01,8,10,15181,9.5,202,208.927,218.012
9,2010-09-01,9,10,10062,9.5,150,209.85,218.281
10,2010-10-01,10,10,9497,9.5,178,216.655,219.024
11,2010-11-01,11,10,8631,9.8,161,219.303,219.544
12,2010-12-01,12,10,13096,9.4,170,227.19,220.437
13,2011-01-01,1,11,9659,9.1,259,229.353,221.082
14,2011-02-01,2,11,12289,9,266,232.188,221.816
15,2011-03-01,3,11,19255,9,281,239.454,222.955
16,2011-04-01,4,11,22100,9.1,305,247.129,224.056
17,2011-05-01,5,11,20006,9,376,250.538,224.918
18,2011-06-01,6,11,19992,9.1,371,246.401,224.99
19,2011-07-01,7,11,15181,9,427,246.968,225.553
20,2011-08-01,8,11,15054,9,336,247.112,226.149
21,2011-09-01,9,11,14386,9,357,249.732,226.674
22,2011-10-01,10,11,13000,8.8,370,246.971,226.761
23,2011-11-01,11,11,12414,8.6,255,247.092,227.136
24,2011-12-01,12,11,13025,8.5,253,243.015,227.093
25,2012-01-01,1,12,10900,8.2,354,244.178,227.666
26,2012-02-01,2,12,13820,8.3,296,247.615,228.138
27,2012-03-01,3,12,19681,8.2,303,249.095,228.732
28,2012-04-01,4,12,16836,8.2,361,249.075,229.184
29,2012-05-01,5,12,18877,8.2,275,242.208,228.884
30,2012-06-01,6,12,17655,8.2,278,237.514,228.825
31,2012-07-01,7,12,18512,8.2,423,234.757,228.779
32,2012-08-01,8,12,17989,8.1,341,245.455,229.952
33,2012-09-01,9,12,18305,7.8,374,254.333,231.086
34,2012-10-01,10,12,14512,7.8,257,256.389,231.652
35,2012-11-01,11,12,15923,7.8,246,248.136,231.19
36,2012-12-01,12,12,19024,7.9,275,244.698,231.099
37,2013-01-01,1,13,12174,7.9,230,242.56,231.321
38,2013-02-01,2,13,16219,7.7,239,252.639,232.599
39,2013-03-01,3,13,26153,7.5,313,244.598,232.075
40,2013-04-01,4,13,24445,7.5,248,238.86,231.707
41,2013-05-01,5,13,25090,7.5,252,240.972,232.124
42,2013-06-01,6,13,22163,7.5,320,245.412,232.86
43,2013-07-01,7,13,23958,7.3,274,245.926,233.252
44,2013-08-01,8,13,24700,7.2,271,244.917,233.433
45,2013-09-01,9,13,19691,7.2,298,245.566,233.743
46,2013-10-01,10,13,14876,7.2,223,243.374,233.782
47,2013-11-01,11,13,16751,7,231,242.301,234.033
48,2013-12-01,12,13,21692,6.7,279,246.189,234.594
49,2014-01-01,1,14,15326,6.6,232,247.575,234.933
50,2014-02-01,2,14,16393,6.7,240,246.389,235.169